rebalance_month,symbol,rank,adv_usd,n_days_trailing
2017-01,PSX,145,264661528.47,252
2017-01,EQIX,146,259039736.02,252
2017-01,M,147,257431919.44,252
2017-01,EXE,148,256827329.65,252
2017-01,BNY,149,255341625.35,252
2017-01,TSN,150,254975677.84,252
2017-02,AAPL,1,4000702566.32,253
2017-02,META,2,2919820460.79,253
2017-02,AMZN,3,2857134837.43,253
2017-02,MSFT,4,1792941214.27,253
2017-02,BAC,5,1774270243.09,253
2017-02,GOOGL,6,1560967770.26,253
2017-02,GOOG,7,1420020637.88,253
2017-02,BABA,8,1315389318.6,253
2017-02,JPM,9,1218829092.65,253
2017-02,WFC,10,1209435376.71,253
2017-02,XOM,11,1141648760.21,253
2017-02,GE,12,1129719895.48,253
2017-02,PG,13,1097052306.03,253
2017-02,PFE,14,1082720287.11,253
2017-02,C,15,1074777314.46,253
2017-02,AGN,16,1018843679.53,253
2017-02,TSLA,17,1014435764.8,253
2017-02,T,18,986590021.77,253
2017-02,JNJ,19,937612817.91,253
2017-02,GILD,20,936322913.74,253
2017-02,CVX,21,831799977.87,253
2017-02,DIS,22,831644080.67,253
2017-02,INTC,23,824075921.93,253
2017-02,VZ,24,820813235.02,253
2017-02,NVDA,25,814239209.35,253
2017-02,V,26,813219023.81,253
2017-02,BKNG,27,770040753.44,253
2017-02,CSCO,28,741656745.14,253
2017-02,CMCSA,29,706208740.0,253
2017-02,GS,30,701172010.83,253
2017-02,MCD,31,695700728.56,253
2017-02,HD,32,694720793.83,253
2017-02,WMT,33,688737425.94,253
2017-02,BHC,34,686050009.55,253
2017-02,QCOM,35,663924634.26,253
2017-02,IBM,36,662102494.24,253
2017-02,MRK,37,660965314.72,253
2017-02,CHTR,38,639028384.41,253
2017-02,BMY,39,634334594.42,253
2017-02,KO,40,628621011.21,253
2017-02,BA,41,600566221.36,253
2017-02,BRK.B,42,600007683.85,253
2017-02,NKE,43,579788930.28,253
2017-02,AMGN,44,572457812.14,253
2017-02,CVS,45,572248802.37,253
2017-02,ORCL,46,565649839.64,253
2017-02,SLB,47,563867996.77,253
2017-02,CELG,48,548256145.79,253
2017-02,SBUX,49,546747393.01,253
2017-02,BIIB,50,531869018.47,253
2017-02,UNH,51,527948169.46,253
2017-02,CMG,52,520282596.57,253
2017-02,BIDU,53,518081441.59,253
2017-02,ABBV,54,516253426.06,253
2017-02,PEP,55,507996442.79,253
2017-02,LMT,56,506592230.2,253
2017-02,AVGO,57,503948209.46,253
2017-02,PM,58,490048968.03,253
2017-02,F,59,472547787.46,253
2017-02,MDT,60,468966438.24,253
2017-02,GM,61,458559367.87,253
2017-02,RTX,62,449854846.36,253
2017-02,DAL,63,449771499.77,253
2017-02,CRM,64,449570455.86,253
2017-02,MS,65,446835637.93,253
2017-02,FCX,66,446499863.61,253
2017-02,TGT,67,446116135.64,253
2017-02,MO,68,443055670.36,253
2017-02,CAT,69,442271093.83,253
2017-02,HAL,70,431820678.7,253
2017-02,LOW,71,431809257.11,253
2017-02,UNP,72,422605203.8,253
2017-02,AIG,73,422374566.98,253
2017-02,MU,74,413203499.01,253
2017-02,MA,75,410987313.84,253
2017-02,COP,76,410379796.96,253
2017-02,MDLZ,77,407782801.45,253
2017-02,HON,78,405743475.77,253
2017-02,ABT,79,399499739.61,253
2017-02,COST,80,395493733.88,253
2017-02,NXPI,81,389112215.88,253
2017-02,LLY,82,385447444.32,253
2017-02,DOW,83,382989865.41,253
2017-02,DD,84,382989865.41,253
2017-02,TXN,85,375407782.93,253
2017-02,MMM,86,373872336.54,253
2017-02,REGN,87,370940066.91,253
2017-02,VLO,88,362759879.69,253
2017-02,TEVA,89,356524778.18,253
2017-02,PYPL,90,354830790.27,253
2017-02,KMI,91,352905708.99,253
2017-02,OXY,92,349414035.39,253
2017-02,AAL,93,348913078.48,253
2017-02,AXP,94,348045843.45,253
2017-02,USB,95,345110492.7,253
2017-02,MET,96,343485623.86,253
2017-02,SHPG,97,339964069.22,253
2017-02,AMAT,98,335238608.63,253
2017-02,B,99,335174844.15,253
2017-02,KR,100,335096018.55,253
2017-02,EOG,101,330469724.6,253
2017-02,EBAY,102,324880827.02,253
2017-02,MCK,103,323206605.41,253
2017-02,ESRX,104,322206264.53,253
2017-02,APC,105,320044422.55,253
2017-02,JD,106,311307892.85,253
2017-02,ACN,107,310160175.49,253
2017-02,UPS,108,308677889.28,253
